name,description,Potion,Liquid,Spirit,Special Slot A,Special Slot B,Special Slot C,Special Effect,Special,Eye Color,Gender,Hit Points,Attack Points,Special Points,Spell Master,Background,Image
1final.png, Real Potions & Spells 1,Hex,Earth #1,Light,Watermellon A,Watermellon B #1,Watermellon C,"Luminous Aegis +550 hp: This potion surrounds the player with a radiant shield, making them invulnerable for a short duration.","+10 to attack points, ",Red,???,70 #1,50,10 #1,"Sylva Watershadow (Water): The ""Aqua Veil Tonic"" whispered of secrets from the depths of the ocean. Upon tasting its azure depths, I was engulfed by liquid whispers, granting me the ability to manipulate water in all its forms. It is said to have been created by a mermaid oracle, allowing me to harness the boundless strength of the tides. #1",skull,dream_TradingCard (30).jpg
2final.png, Real Potions & Spells 1,Hex,Water,Light,777 A,777 B #1,777 C,"True Love's Kiss +700 hp: Allows the player to break curses, heal wounds, and revive the fallen with a kiss.","+100 to attack points, ",Blue,???,70 #1,25,7,"Sylva Watershadow (Water): The ""Aqua Veil Tonic"" whispered of secrets from the depths of the ocean. Upon tasting its azure depths, I was engulfed by liquid whispers, granting me the ability to manipulate water in all its forms. It is said to have been created by a mermaid oracle, allowing me to harness the boundless strength of the tides. #1",cloud brains,dream_TradingCard (44).jpg
3final.png, Real Potions & Spells 1,Curse,Oil,Dark,777 A,777 B,777 C,"Solar Infusion + 550 hp: Drinking this potion grants the player the power to emit blinding rays of light, temporarily blinding their opponents.","+10 to attack points, ",Orange,Female,100 #1,150,5 #1,"Solara Dawnbringer (Sun): The ""Lustrous Dawn Serum"" unveiled the sun's innermost secrets, infusing me with radiant might. Bathed in the aura of dawn, this potion bestowed me with the power to heal and revive, casting aside darkness wherever I roamed. They say it was bestowed upon the realm by a benevolent sun deity, a guardian of hope. #1",skull,dream_TradingCard (42).jpg
4final.png, Real Potions & Spells 1,Curse,Earth #1,Nature,Watermellon A #1,777 B #1,Watermellon C,"True Love's Kiss +700 hp: Allows the player to break curses, heal wounds, and revive the fallen with a kiss.",+20 to hit points,Green,???,190,150,5 #1,"Luna Tidesong (Moon): In the realm of Real Potions & Spells, I discovered the ""Lunar Elixir,"" a potion crafted under the pale moon's gentle gaze. Sipping from its glass vial, I felt my essence align with the celestial dance of the night, casting ethereal moonbeams to ensnare my foes. Legends say it was created by a mystical moon",plant,dream_TradingCard (100).jpg
5final.png, Real Potions & Spells 1,Curse,Water,Dark,777 A,777 B #1,777 C,"Solar Infusion + 550 hp: Drinking this potion grants the player the power to emit blinding rays of light, temporarily blinding their opponents.","+50 to attack points, ",Hazel,Female,370,80 #1,7,"Sylva Watershadow (Water): The ""Aqua Veil Tonic"" whispered of secrets from the depths of the ocean. Upon tasting its azure depths, I was engulfed by liquid whispers, granting me the ability to manipulate water in all its forms. It is said to have been created by a mermaid oracle, allowing me to harness the boundless strength of the tides. #1",skull,dream_TradingCard (98).jpg
6final.png, Real Potions & Spells 1,Love,Oil,Dark,Cherries A #1,777 B #1,Watermellon C,"True Love's Kiss +700 hp: Allows the player to break curses, heal wounds, and revive the fallen with a kiss.","+50 to attack points, ",Green,Undecided,70 #1,50,7,"Vesper Nightshade (Oil): Within the dimly lit chambers of forgotten castles, I unearthed the ""Shadowstealer Elixir,"" a concoction born from shadows and oil. It granted me the power to fade into the inky blackness, stealing both sight and strength from my adversaries. A relic of an ancient oil mage, its secrets remained locked until my arrival. #1",tree,dream_TradingCard (92).jpg
7final.png, Real Potions & Spells 1,Love,Earth #1,Nature,Watermellon A #1,Watermellon B,777 C,"Dimensional Mastery +800 hp: The player can manipulate the fabric of reality within their surroundings, altering the terrain to their advantage.",+10 to attack points,Blue,Male,90 #1,25,5 #1,"Sylva Watershadow (Water): The ""Aqua Veil Tonic"" whispered of secrets from the depths of the ocean. Upon tasting its azure depths, I was engulfed by liquid whispers, granting me the ability to manipulate water in all its forms. It is said to have been created by a mermaid oracle, allowing me to harness the boundless strength of the tides. #1",moon woman,dream_TradingCard (71).jpg
8final.png, Real Potions & Spells 1,Love,Earth #1,Nature,Watermellon A,777 B,777 C #2,"Love's Embrace +1000 hp: Drinking this potion bestows the player with the ability to heal and mend the wounds of others, fostering unity and love.","+100 to hit points, ",Hazel,Female,70 #1,25,3,"Solara Dawnbringer (Sun): The ""Lustrous Dawn Serum"" unveiled the sun's innermost secrets, infusing me with radiant might. Bathed in the aura of dawn, this potion bestowed me with the power to heal and revive, casting aside darkness wherever I roamed. They say it was bestowed upon the realm by a benevolent sun deity, a guardian of hope. #1",plant,dream_TradingCard (90).jpg
9final.png, Real Potions & Spells 1,Hex,Oil,Nature,Cherries A,777 B #1,Cherries C,"Luminous Aegis +550 hp: This potion surrounds the player with a radiant shield, making them invulnerable for a short duration.","+50 to attack points, ",Blue,Female,280,25,3,"Solara Dawnbringer (Sun): The ""Lustrous Dawn Serum"" unveiled the sun's innermost secrets, infusing me with radiant might. Bathed in the aura of dawn, this potion bestowed me with the power to heal and revive, casting aside darkness wherever I roamed. They say it was bestowed upon the realm by a benevolent sun deity, a guardian of hope. #1",moon man,dream_TradingCard (37).jpg
10final.png, Real Potions & Spells 1,Love,Earth #1,Nature,Cherries A,Cherries B,777 C #1,"Metamorphic Elixir +600 hp: The player can morph into various forms, adapting to any situation with newfound abilities.","+20 to hit points, ",Brown,Undecided,190,25,3,"Vesper Nightshade (Oil): Within the dimly lit chambers of forgotten castles, I unearthed the ""Shadowstealer Elixir,"" a concoction born from shadows and oil. It granted me the power to fade into the inky blackness, stealing both sight and strength from my adversaries. A relic of an ancient oil mage, its secrets remained locked until my arrival. #1",moon man,dream_TradingCard (72).jpg
11final.png, Real Potions & Spells 1,Love,Water,Dark,Watermellon A #1,Cherries B,Watermellon C,"Radiant Empowerment +400 hp: The player becomes infused with light energy, boosting their strength and agility significantly.","+10 to attack points, ",Hazel,???,280,100,5 #1,"Sylva Watershadow (Water): The ""Aqua Veil Tonic"" whispered of secrets from the depths of the ocean. Upon tasting its azure depths, I was engulfed by liquid whispers, granting me the ability to manipulate water in all its forms. It is said to have been created by a mermaid oracle, allowing me to harness the boundless strength of the tides. #1",tree,dream_TradingCard (34).jpg
12final.png, Real Potions & Spells 1,Curse,Oil,Nature,Cherries A #2,777 B #1,Cherries C,"Love's Embrace +1000 hp: Drinking this potion bestows the player with the ability to heal and mend the wounds of others, fostering unity and love.",+50 to hit points,Blue,Female,60,50,3,"Vesper Nightshade (Oil): Within the dimly lit chambers of forgotten castles, I unearthed the ""Shadowstealer Elixir,"" a concoction born from shadows and oil. It granted me the power to fade into the inky blackness, stealing both sight and strength from my adversaries. A relic of an ancient oil mage, its secrets remained locked until my arrival. #1",skull,dream_TradingCard (37).jpg
13final.png, Real Potions & Spells 1,Love,Earth #1,Light,Watermellon A #1,Watermellon B #1,Cherries C,"Luminous Aegis +550 hp: This potion surrounds the player with a radiant shield, making them invulnerable for a short duration.","+100 to attack points, ",Orange,Undecided,100 #1,100,3,"Aurora Fireheart (Sun): Behold, the ""Solar Ignition Brew""! As I consumed it, I found myself ablaze with the sun's fiery essence, radiating brilliance and the raw power of solar flames. This potion, said to be forged in the heart of a dying star, transformed me into a celestial inferno, incinerating all who dared to challenge me. #1",balloon,dream_TradingCard (66).jpg
14final.png, Real Potions & Spells 1,Love,Earth #1,Light,Watermellon A #1,777 B #1,777 C #1,"Void Warp +800 hp: This potion allows the player to phase in and out of the dark dimension, providing unparalleled speed and agility.","+50 to attack points, ",Green,Male,60,50,3,"Luna Tidesong (Moon): In the realm of Real Potions & Spells, I discovered the ""Lunar Elixir,"" a potion crafted under the pale moon's gentle gaze. Sipping from its glass vial, I felt my essence align with the celestial dance of the night, casting ethereal moonbeams to ensnare my foes. Legends say it was created by a mystical moon",skull,dream_TradingCard (87).jpg
15final.png, Real Potions & Spells 1,Hex,Oil,Nature,Cherries A #2,777 B,Watermellon C,"Abyssal Grasp +1000 hp: The player can conjure dark tendrils to ensnare and immobilize enemies, rendering them helpless.","+100 to hit points, ",Blue,Male,90 #1,80 #1,7,"Sylva Watershadow (Water): The ""Aqua Veil Tonic"" whispered of secrets from the depths of the ocean. Upon tasting its azure depths, I was engulfed by liquid whispers, granting me the ability to manipulate water in all its forms. It is said to have been created by a mermaid oracle, allowing me to harness the boundless strength of the tides. #1",skull,dream_TradingCard (43).jpg
16final.png, Real Potions & Spells 1,Curse,Water,Light,777 A,Watermellon B #1,777 C #2,"True Love's Kiss +700 hp: Allows the player to break curses, heal wounds, and revive the fallen with a kiss.","+50 to attack points, ",Orange,Undecided,90 #1,50,7,"Vesper Nightshade (Oil): Within the dimly lit chambers of forgotten castles, I unearthed the ""Shadowstealer Elixir,"" a concoction born from shadows and oil. It granted me the power to fade into the inky blackness, stealing both sight and strength from my adversaries. A relic of an ancient oil mage, its secrets remained locked until my arrival. #1",skull,dream_TradingCard (31).jpg
17final.png, Real Potions & Spells 1,Love,Water,Nature,Cherries A #2,Watermellon B #1,Watermellon C,"True Love's Kiss +700 hp: Allows the player to break curses, heal wounds, and revive the fallen with a kiss.","+50 to attack points, ",Brown,???,100 #1,50,3,"Aurora Fireheart (Sun): Behold, the ""Solar Ignition Brew""! As I consumed it, I found myself ablaze with the sun's fiery essence, radiating brilliance and the raw power of solar flames. This potion, said to be forged in the heart of a dying star, transformed me into a celestial inferno, incinerating all who dared to challenge me. #1",skull,dream_TradingCard (93).jpg
18final.png, Real Potions & Spells 1,Curse,Earth #1,Nature,Watermellon A #1,777 B,777 C #1,"Metamorphic Elixir +600 hp: The player can morph into various forms, adapting to any situation with newfound abilities.","+10 to attack points, ",Brown,Male,100 #1,150,5 #1,"Solara Dawnbringer (Sun): The ""Lustrous Dawn Serum"" unveiled the sun's innermost secrets, infusing me with radiant might. Bathed in the aura of dawn, this potion bestowed me with the power to heal and revive, casting aside darkness wherever I roamed. They say it was bestowed upon the realm by a benevolent sun deity, a guardian of hope. #1",moon man,dream_TradingCard (56).jpg
